TRFL #9003039811LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 14:10:19,0                 
Time,Ampl
-1.2500064e-005,1.48208
-1.2499864e-005,1.49343
-1.2499664e-005,1.50363
-1.2499464e-005,1.50311
-1.2499264e-005,1.49384
-1.2499064e-005,1.48542
-1.2498864e-005,1.48589
-1.2498664e-005,1.49128
-1.2498464e-005,1.4935
-1.2498264e-005,1.49151
-1.2498064e-005,1.48693
-1.2497864e-005,1.4812
-1.2497664e-005,1.47924
-1.2497464e-005,1.48374
-1.2497264e-005,1.48747
-1.2497064e-005,1.48542
-1.2496864e-005,1.48514
-1.2496664e-005,1.48835
-1.2496464e-005,1.48706
-1.2496264e-005,1.48216
-1.2496064e-005,1.48102
-1.2495864e-005,1.48485
-1.2495664e-005,1.48724
-1.2495464e-005,1.48335
-1.2495264e-005,1.47962
-1.2495064e-005,1.48312
-1.2494864e-005,1.48799
-1.2494664e-005,1.4883
-1.2494464e-005,1.48918
-1.2494264e-005,1.492
-1.2494064e-005,1.49019
-1.2493864e-005,1.48612
-1.2493664e-005,1.48711
-1.2493464e-005,1.49213
-1.2493264e-005,1.49503
-1.2493064e-005,1.49177
-1.2492864e-005,1.48649
-1.2492664e-005,1.48511
-1.2492464e-005,1.4832
-1.2492264e-005,1.47714
-1.2492064e-005,1.47406
-1.2491864e-005,1.47924
-1.2491664e-005,1.48685
-1.2491464e-005,1.48669
-1.2491264e-005,1.48074
-1.2491064e-005,1.48063
-1.2490864e-005,1.48931
-1.2490664e-005,1.49705
-1.2490464e-005,1.49656
-1.2490264e-005,1.49467
-1.2490064e-005,1.49444
-1.2489864e-005,1.49014
-1.2489664e-005,1.48457
-1.2489464e-005,1.48421
-1.2489264e-005,1.4868
-1.2489064e-005,1.48682
-1.2488864e-005,1.48589
-1.2488664e-005,1.48726
-1.2488464e-005,1.48972
-1.2488264e-005,1.49003
-1.2488064e-005,1.48439
-1.2487864e-005,1.4775
-1.2487664e-005,1.47882
-1.2487464e-005,1.48405
-1.2487264e-005,1.48353
-1.2487064e-005,1.47903
-1.2486864e-005,1.47864
-1.2486664e-005,1.4834
-1.2486464e-005,1.48586
-1.2486264e-005,1.48579
-1.2486064e-005,1.48993
-1.2485864e-005,1.49309
-1.2485664e-005,1.49024
-1.2485464e-005,1.49312
-1.2485264e-005,1.50428
-1.2485064e-005,1.50697
-1.2484864e-005,1.49822
-1.2484664e-005,1.49128
-1.2484464e-005,1.48972
-1.2484264e-005,1.48897
-1.2484064e-005,1.48905
-1.2483864e-005,1.49177
-1.2483664e-005,1.49508
-1.2483464e-005,1.49526
-1.2483264e-005,1.49174
-1.2483064e-005,1.48812
-1.2482864e-005,1.48734
-1.2482664e-005,1.48827
-1.2482464e-005,1.48794
-1.2482264e-005,1.48584
-1.2482064e-005,1.48361
-1.2481864e-005,1.48115
-1.2481664e-005,1.48022
-1.2481464e-005,1.48483
-1.2481264e-005,1.48993
-1.2481064e-005,1.48918
-1.2480864e-005,1.4913
-1.2480664e-005,1.49982
-1.2480464e-005,1.50034
-1.2480264e-005,1.49011
-1.2480064e-005,1.48094
-1.2479864e-005,1.47742
-1.2479664e-005,1.47924
-1.2479464e-005,1.48576
-1.2479264e-005,1.49133
-1.2479064e-005,1.49011
-1.2478864e-005,1.4846
-1.2478664e-005,1.48087
-1.2478464e-005,1.48237
-1.2478264e-005,1.48814
-1.2478064e-005,1.49195
-1.2477864e-005,1.49037
-1.2477664e-005,1.49027
-1.2477464e-005,1.49501
-1.2477264e-005,1.49583
-1.2477064e-005,1.48864
-1.2476864e-005,1.4803
-1.2476664e-005,1.47841
-1.2476464e-005,1.48304
-1.2476264e-005,1.48506
-1.2476064e-005,1.48074
-1.2475864e-005,1.47864
-1.2475664e-005,1.48203
-1.2475464e-005,1.48382
-1.2475264e-005,1.48232
-1.2475064e-005,1.48126
-1.2474864e-005,1.48312
-1.2474664e-005,1.48983
-1.2474464e-005,1.49798
-1.2474264e-005,1.4976
-1.2474064e-005,1.48814
-1.2473864e-005,1.48283
-1.2473664e-005,1.4877
-1.2473464e-005,1.49348
-1.2473264e-005,1.48944
-1.2473064e-005,1.48118
-1.2472864e-005,1.48162
-1.2472664e-005,1.48794
-1.2472464e-005,1.4905
-1.2472264e-005,1.48993
-1.2472064e-005,1.4898
-1.2471864e-005,1.48843
-1.2471664e-005,1.48633
-1.2471464e-005,1.48775
-1.2471264e-005,1.4906
-1.2471064e-005,1.49016
-1.2470864e-005,1.48739
-1.2470664e-005,1.4834
-1.2470464e-005,1.47975
-1.2470264e-005,1.47986
-1.2470064e-005,1.48273
-1.2469864e-005,1.48522
-1.2469664e-005,1.48747
-1.2469464e-005,1.49236
-1.2469264e-005,1.49822
-1.2469064e-005,1.50016
-1.2468864e-005,1.49723
-1.2468664e-005,1.49159
-1.2468464e-005,1.48669
-1.2468264e-005,1.48449
-1.2468064e-005,1.48618
-1.2467864e-005,1.49066
