TRFL #9003106217LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 16:15:17,0                 
Time,Ampl
-1.2500088e-005,1.49782
-1.2499888e-005,1.50221
-1.2499688e-005,1.50024
-1.2499488e-005,1.49264
-1.2499288e-005,1.49195
-1.2499088e-005,1.49768
-1.2498888e-005,1.4964
-1.2498688e-005,1.49057
-1.2498488e-005,1.49029
-1.2498288e-005,1.4923
-1.2498088e-005,1.49071
-1.2497888e-005,1.48836
-1.2497688e-005,1.48708
-1.2497488e-005,1.48529
-1.2497288e-005,1.48505
-1.2497088e-005,1.48667
-1.2496888e-005,1.48508
-1.2496688e-005,1.48066
-1.2496488e-005,1.47976
-1.2496288e-005,1.48536
-1.2496088e-005,1.49295
-1.2495888e-005,1.49675
-1.2495688e-005,1.49875
-1.2495488e-005,1.49941
-1.2495288e-005,1.49464
-1.2495088e-005,1.48739
-1.2494888e-005,1.48228
-1.2494688e-005,1.48301
-1.2494488e-005,1.49143
-1.2494288e-005,1.49827
-1.2494088e-005,1.49758
-1.2493888e-005,1.49402
-1.2493688e-005,1.48781
-1.2493488e-005,1.48149
-1.2493288e-005,1.48145
-1.2493088e-005,1.48463
-1.2492888e-005,1.48556
-1.2492688e-005,1.4847
-1.2492488e-005,1.48418
-1.2492288e-005,1.48435
-1.2492088e-005,1.48674
-1.2491888e-005,1.49078
-1.2491688e-005,1.49237
-1.2491488e-005,1.49592
-1.2491288e-005,1.50103
-1.2491088e-005,1.49392
-1.2490888e-005,1.47883
-1.2490688e-005,1.47634
-1.2490488e-005,1.48622
-1.2490288e-005,1.49333
-1.2490088e-005,1.49319
-1.2489888e-005,1.4876
-1.2489688e-005,1.48159
-1.2489488e-005,1.48373
-1.2489288e-005,1.49085
-1.2489088e-005,1.49123
-1.2488888e-005,1.48774
-1.2488688e-005,1.48991
-1.2488488e-005,1.49302
-1.2488288e-005,1.48995
-1.2488088e-005,1.48453
-1.2487888e-005,1.48387
-1.2487688e-005,1.48553
-1.2487488e-005,1.4818
-1.2487288e-005,1.47552
-1.2487088e-005,1.47258
-1.2486888e-005,1.47376
-1.2486688e-005,1.48045
-1.2486488e-005,1.48774
-1.2486288e-005,1.48674
-1.2486088e-005,1.48287
-1.2485888e-005,1.48432
-1.2485688e-005,1.48508
-1.2485488e-005,1.48581
-1.2485288e-005,1.49237
-1.2485088e-005,1.49547
-1.2484888e-005,1.4942
-1.2484688e-005,1.49716
-1.2484488e-005,1.49879
-1.2484288e-005,1.49492
-1.2484088e-005,1.48984
-1.2483888e-005,1.48736
-1.2483688e-005,1.49261
-1.2483488e-005,1.50058
-1.2483288e-005,1.50138
-1.2483088e-005,1.49779
-1.2482888e-005,1.49654
-1.2482688e-005,1.49851
-1.2482488e-005,1.50065
-1.2482288e-005,1.49627
-1.2482088e-005,1.48639
-1.2481888e-005,1.48246
-1.2481688e-005,1.48674
-1.2481488e-005,1.48936
-1.2481288e-005,1.48636
-1.2481088e-005,1.48453
-1.2480888e-005,1.48615
-1.2480688e-005,1.48622
-1.2480488e-005,1.48556
-1.2480288e-005,1.48757
-1.2480088e-005,1.49174
-1.2479888e-005,1.49682
-1.2479688e-005,1.4982
-1.2479488e-005,1.49696
-1.2479288e-005,1.49837
-1.2479088e-005,1.49609
-1.2478888e-005,1.48712
-1.2478688e-005,1.48163
-1.2478488e-005,1.48073
-1.2478288e-005,1.47887
-1.2478088e-005,1.47945
-1.2477888e-005,1.4836
-1.2477688e-005,1.48473
-1.2477488e-005,1.47928
-1.2477288e-005,1.47386
-1.2477088e-005,1.47835
-1.2476888e-005,1.48936
-1.2476688e-005,1.49461
-1.2476488e-005,1.48929
-1.2476288e-005,1.47935
-1.2476088e-005,1.47583
-1.2475888e-005,1.48353
-1.2475688e-005,1.49043
-1.2475488e-005,1.48553
-1.2475288e-005,1.48049
-1.2475088e-005,1.48511
-1.2474888e-005,1.49274
-1.2474688e-005,1.49899
-1.2474488e-005,1.50069
-1.2474288e-005,1.49596
-1.2474088e-005,1.49285
-1.2473888e-005,1.49571
-1.2473688e-005,1.49661
-1.2473488e-005,1.49029
-1.2473288e-005,1.48246
-1.2473088e-005,1.4788
-1.2472888e-005,1.48128
-1.2472688e-005,1.4865
-1.2472488e-005,1.48836
-1.2472288e-005,1.49154
-1.2472088e-005,1.49975
-1.2471888e-005,1.50587
-1.2471688e-005,1.50835
-1.2471488e-005,1.50725
-1.2471288e-005,1.49851
-1.2471088e-005,1.48836
-1.2470888e-005,1.48363
-1.2470688e-005,1.48325
-1.2470488e-005,1.48995
-1.2470288e-005,1.49772
-1.2470088e-005,1.49357
-1.2469888e-005,1.48408
-1.2469688e-005,1.48256
-1.2469488e-005,1.48646
-1.2469288e-005,1.48477
-1.2469088e-005,1.47945
-1.2468888e-005,1.4827
-1.2468688e-005,1.49337
-1.2468488e-005,1.49896
-1.2468288e-005,1.4971
-1.2468088e-005,1.49478
-1.2467888e-005,1.49047
-1.2467688e-005,1.48429
-1.2467488e-005,1.48584
-1.2467288e-005,1.49285
-1.2467088e-005,1.49668
-1.2466888e-005,1.49879
-1.2466688e-005,1.50162
-1.2466488e-005,1.50303
-1.2466288e-005,1.50255
-1.2466088e-005,1.49979
-1.2465888e-005,1.49361
-1.2465688e-005,1.48591
-1.2465488e-005,1.47997
-1.2465288e-005,1.48052
-1.2465088e-005,1.48591
-1.2464888e-005,1.48957
-1.2464688e-005,1.4954
-1.2464488e-005,1.5039
-1.2464288e-005,1.50376
-1.2464088e-005,1.4964
-1.2463888e-005,1.4953
-1.2463688e-005,1.49758
-1.2463488e-005,1.48981
-1.2463288e-005,1.47755
-1.2463088e-005,1.4751
-1.2462888e-005,1.4807
-1.2462688e-005,1.48746
-1.2462488e-005,1.49205
-1.2462288e-005,1.49136
-1.2462088e-005,1.48857
-1.2461888e-005,1.48581
-1.2461688e-005,1.48042
-1.2461488e-005,1.47838
-1.2461288e-005,1.48501
-1.2461088e-005,1.49112
-1.2460888e-005,1.49185
-1.2460688e-005,1.49119
-1.2460488e-005,1.48978
-1.2460288e-005,1.49067
-1.2460088e-005,1.49582
-1.2459888e-005,1.49613
-1.2459688e-005,1.48784
-1.2459488e-005,1.48287
-1.2459288e-005,1.48743
-1.2459088e-005,1.49495
-1.2458888e-005,1.49789
-1.2458688e-005,1.49523
-1.2458488e-005,1.49129
-1.2458288e-005,1.4877
-1.2458088e-005,1.48674
-1.2457888e-005,1.48867
-1.2457688e-005,1.48522
-1.2457488e-005,1.48
-1.2457288e-005,1.48608
-1.2457088e-005,1.49651
-1.2456888e-005,1.49775
-1.2456688e-005,1.49347
-1.2456488e-005,1.4886
-1.2456288e-005,1.48197
-1.2456088e-005,1.47914
-1.2455888e-005,1.48259
-1.2455688e-005,1.48681
-1.2455488e-005,1.49016
-1.2455288e-005,1.49319
-1.2455088e-005,1.49205
-1.2454888e-005,1.48629
-1.2454688e-005,1.48373
-1.2454488e-005,1.48819
-1.2454288e-005,1.49375
-1.2454088e-005,1.49285
-1.2453888e-005,1.48522
-1.2453688e-005,1.47873
-1.2453488e-005,1.47814
-1.2453288e-005,1.48114
-1.2453088e-005,1.48546
-1.2452888e-005,1.49019
-1.2452688e-005,1.49471
-1.2452488e-005,1.49906
-1.2452288e-005,1.50124
-1.2452088e-005,1.49837
-1.2451888e-005,1.49237
-1.2451688e-005,1.48922
-1.2451488e-005,1.4935
-1.2451288e-005,1.49924
-1.2451088e-005,1.49627
-1.2450888e-005,1.49002
-1.2450688e-005,1.49129
-1.2450488e-005,1.49502
-1.2450288e-005,1.49019
-1.2450088e-005,1.47956
-1.2449888e-005,1.47341
-1.2449688e-005,1.4761
-1.2449488e-005,1.48439
-1.2449288e-005,1.48715
-1.2449088e-005,1.47755
-1.2448888e-005,1.46802
-1.2448688e-005,1.47161
-1.2448488e-005,1.48145
-1.2448288e-005,1.48871
-1.2448088e-005,1.49537
-1.2447888e-005,1.50079
-1.2447688e-005,1.49937
-1.2447488e-005,1.49603
-1.2447288e-005,1.49665
-1.2447088e-005,1.49368
-1.2446888e-005,1.48577
-1.2446688e-005,1.4809
-1.2446488e-005,1.4809
-1.2446288e-005,1.4846
-1.2446088e-005,1.48902
-1.2445888e-005,1.49026
-1.2445688e-005,1.48812
-1.2445488e-005,1.4838
-1.2445288e-005,1.48094
-1.2445088e-005,1.48363
-1.2444888e-005,1.48874
-1.2444688e-005,1.49161
-1.2444488e-005,1.48974
-1.2444288e-005,1.48166
-1.2444088e-005,1.47748
-1.2443888e-005,1.48435
-1.2443688e-005,1.49129
-1.2443488e-005,1.49212
-1.2443288e-005,1.49119
-1.2443088e-005,1.4886
-1.2442888e-005,1.48808
-1.2442688e-005,1.49316
-1.2442488e-005,1.49613
-1.2442288e-005,1.49855
-1.2442088e-005,1.505
-1.2441888e-005,1.50428
-1.2441688e-005,1.49413
-1.2441488e-005,1.48453
-1.2441288e-005,1.48163
-1.2441088e-005,1.48708
-1.2440888e-005,1.49299
-1.2440688e-005,1.49402
-1.2440488e-005,1.49568
-1.2440288e-005,1.49716
-1.2440088e-005,1.49382
-1.2439888e-005,1.48674
-1.2439688e-005,1.48007
-1.2439488e-005,1.47918
-1.2439288e-005,1.48543
-1.2439088e-005,1.49205
-1.2438888e-005,1.49095
-1.2438688e-005,1.48726
-1.2438488e-005,1.48877
-1.2438288e-005,1.48953
-1.2438088e-005,1.48694
-1.2437888e-005,1.48473
-1.2437688e-005,1.48277
-1.2437488e-005,1.48608
-1.2437288e-005,1.49551
-1.2437088e-005,1.50293
-1.2436888e-005,1.50763
-1.2436688e-005,1.50901
-1.2436488e-005,1.50476
-1.2436288e-005,1.50293
-1.2436088e-005,1.50718
-1.2435888e-005,1.50915
-1.2435688e-005,1.50714
-1.2435488e-005,1.50369
-1.2435288e-005,1.49782
-1.2435088e-005,1.49157
-1.2434888e-005,1.48815
-1.2434688e-005,1.48905
-1.2434488e-005,1.49261
-1.2434288e-005,1.4923
-1.2434088e-005,1.48763
-1.2433888e-005,1.48736
-1.2433688e-005,1.49005
-1.2433488e-005,1.48656
-1.2433288e-005,1.48111
-1.2433088e-005,1.48056
-1.2432888e-005,1.48118
-1.2432688e-005,1.48139
-1.2432488e-005,1.48342
-1.2432288e-005,1.48732
-1.2432088e-005,1.4934
-1.2431888e-005,1.4963
-1.2431688e-005,1.48978
-1.2431488e-005,1.48121
-1.2431288e-005,1.4818
-1.2431088e-005,1.48822
-1.2430888e-005,1.49102
-1.2430688e-005,1.48967
-1.2430488e-005,1.48839
-1.2430288e-005,1.48853
-1.2430088e-005,1.48791
-1.2429888e-005,1.48325
-1.2429688e-005,1.47748
-1.2429488e-005,1.47828
-1.2429288e-005,1.48159
-1.2429088e-005,1.48007
-1.2428888e-005,1.47838
-1.2428688e-005,1.47845
-1.2428488e-005,1.48014
-1.2428288e-005,1.48608
-1.2428088e-005,1.48971
-1.2427888e-005,1.48667
-1.2427688e-005,1.48339
-1.2427488e-005,1.48567
-1.2427288e-005,1.49302
-1.2427088e-005,1.49678
-1.2426888e-005,1.48895
-1.2426688e-005,1.47745
-1.2426488e-005,1.47755
-1.2426288e-005,1.48698
-1.2426088e-005,1.49202
-1.2425888e-005,1.48815
-1.2425688e-005,1.47983
-1.2425488e-005,1.47524
-1.2425288e-005,1.47659
-1.2425088e-005,1.47735
-1.2424888e-005,1.47807
-1.2424688e-005,1.48353
-1.2424488e-005,1.49174
-1.2424288e-005,1.49913
-1.2424088e-005,1.50324
-1.2423888e-005,1.50331
-1.2423688e-005,1.49989
-1.2423488e-005,1.49447
-1.2423288e-005,1.49382
-1.2423088e-005,1.49986
-1.2422888e-005,1.50089
-1.2422688e-005,1.4925
-1.2422488e-005,1.48722
-1.2422288e-005,1.4896
-1.2422088e-005,1.49205
-1.2421888e-005,1.49299
-1.2421688e-005,1.49136
-1.2421488e-005,1.48618
-1.2421288e-005,1.48612
-1.2421088e-005,1.49447
-1.2420888e-005,1.4983
-1.2420688e-005,1.49768
-1.2420488e-005,1.50614
-1.2420288e-005,1.51377
-1.2420088e-005,1.50894
-1.2419888e-005,1.50148
-1.2419688e-005,1.49765
-1.2419488e-005,1.49672
-1.2419288e-005,1.49647
-1.2419088e-005,1.49551
-1.2418888e-005,1.49634
-1.2418688e-005,1.49803
-1.2418488e-005,1.4972
-1.2418288e-005,1.49413
-1.2418088e-005,1.49237
-1.2417888e-005,1.49392
-1.2417688e-005,1.4972
-1.2417488e-005,1.49879
-1.2417288e-005,1.49927
-1.2417088e-005,1.50006
-1.2416888e-005,1.49803
-1.2416688e-005,1.49268
-1.2416488e-005,1.48943
-1.2416288e-005,1.49129
-1.2416088e-005,1.49292
-1.2415888e-005,1.49164
-1.2415688e-005,1.49281
-1.2415488e-005,1.49596
-1.2415288e-005,1.49437
-1.2415088e-005,1.49054
-1.2414888e-005,1.49098
-1.2414688e-005,1.4914
-1.2414488e-005,1.48688
-1.2414288e-005,1.48518
-1.2414088e-005,1.49064
-1.2413888e-005,1.49188
-1.2413688e-005,1.48373
-1.2413488e-005,1.47845
-1.2413288e-005,1.48183
-1.2413088e-005,1.48795
-1.2412888e-005,1.49299
-1.2412688e-005,1.49371
-1.2412488e-005,1.48905
-1.2412288e-005,1.48297
-1.2412088e-005,1.48042
-1.2411888e-005,1.4827
-1.2411688e-005,1.48639
-1.2411488e-005,1.49223
-1.2411288e-005,1.50058
-1.2411088e-005,1.50255
-1.2410888e-005,1.49492
-1.2410688e-005,1.48529
-1.2410488e-005,1.47828
-1.2410288e-005,1.47583
-1.2410088e-005,1.47724
-1.2409888e-005,1.47842
-1.2409688e-005,1.48256
-1.2409488e-005,1.49237
-1.2409288e-005,1.49861
-1.2409088e-005,1.49409
-1.2408888e-005,1.48508
-1.2408688e-005,1.48273
-1.2408488e-005,1.48615
-1.2408288e-005,1.48791
-1.2408088e-005,1.49047
-1.2407888e-005,1.49627
-1.2407688e-005,1.49958
-1.2407488e-005,1.49868
-1.2407288e-005,1.49627
-1.2407088e-005,1.49368
-1.2406888e-005,1.49254
-1.2406688e-005,1.49195
-1.2406488e-005,1.49095
-1.2406288e-005,1.49081
-1.2406088e-005,1.48674
-1.2405888e-005,1.47555
-1.2405688e-005,1.46768
-1.2405488e-005,1.47331
-1.2405288e-005,1.48539
-1.2405088e-005,1.49489
-1.2404888e-005,1.50158
-1.2404688e-005,1.503
-1.2404488e-005,1.49806
-1.2404288e-005,1.49388
-1.2404088e-005,1.49537
-1.2403888e-005,1.49727
-1.2403688e-005,1.49506
-1.2403488e-005,1.49147
-1.2403288e-005,1.49109
-1.2403088e-005,1.49658
-1.2402888e-005,1.50065
-1.2402688e-005,1.49678
-1.2402488e-005,1.49195
-1.2402288e-005,1.49181
-1.2402088e-005,1.49779
-1.2401888e-005,1.50738
-1.2401688e-005,1.50631
-1.2401488e-005,1.49285
-1.2401288e-005,1.48453
-1.2401088e-005,1.48653
-1.2400888e-005,1.48981
-1.2400688e-005,1.48995
-1.2400488e-005,1.48995
-1.2400288e-005,1.49547
-1.2400088e-005,1.505
-1.2399888e-005,1.50738
-1.2399688e-005,1.50055
-1.2399488e-005,1.49433
-1.2399288e-005,1.49368
-1.2399088e-005,1.49768
-1.2398888e-005,1.4991
-1.2398688e-005,1.49268
-1.2398488e-005,1.49005
-1.2398288e-005,1.49917
-1.2398088e-005,1.50524
-1.2397888e-005,1.4963
-1.2397688e-005,1.48256
-1.2397488e-005,1.47472
-1.2397288e-005,1.47237
-1.2397088e-005,1.47507
-1.2396888e-005,1.4799
-1.2396688e-005,1.48266
-1.2396488e-005,1.48415
-1.2396288e-005,1.4838
-1.2396088e-005,1.48215
-1.2395888e-005,1.48391
-1.2395688e-005,1.48732
-1.2395488e-005,1.4867
-1.2395288e-005,1.48639
-1.2395088e-005,1.49098
-1.2394888e-005,1.49264
-1.2394688e-005,1.48719
-1.2394488e-005,1.48266
-1.2394288e-005,1.48532
-1.2394088e-005,1.49316
-1.2393888e-005,1.49913
-1.2393688e-005,1.49951
-1.2393488e-005,1.49333
