TRFL #9003048784LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 13:31:59,0                 
Time,Ampl
-1.2500035e-005,1.49389
-1.2499835e-005,1.4934
-1.2499635e-005,1.49749
-1.2499435e-005,1.50055
-1.2499235e-005,1.50094
-1.2499035e-005,1.49762
-1.2498835e-005,1.49317
-1.2498635e-005,1.49203
-1.2498435e-005,1.49151
-1.2498235e-005,1.49161
-1.2498035e-005,1.49506
-1.2497835e-005,1.49703
-1.2497635e-005,1.49563
-1.2497435e-005,1.49454
-1.2497235e-005,1.49392
-1.2497035e-005,1.49078
-1.2496835e-005,1.48581
-1.2496635e-005,1.48276
-1.2496435e-005,1.4826
-1.2496235e-005,1.48431
-1.2496035e-005,1.48568
-1.2495835e-005,1.48879
-1.2495635e-005,1.49923
-1.2495435e-005,1.51238
-1.2495235e-005,1.5165
-1.2495035e-005,1.50855
-1.2494835e-005,1.49819
-1.2494635e-005,1.49599
-1.2494435e-005,1.49959
-1.2494235e-005,1.49884
-1.2494035e-005,1.49229
-1.2493835e-005,1.48879
-1.2493635e-005,1.49319
-1.2493435e-005,1.49824
-1.2493235e-005,1.49664
-1.2493035e-005,1.49029
-1.2492835e-005,1.48312
-1.2492635e-005,1.47799
-1.2492435e-005,1.47864
-1.2492235e-005,1.48377
-1.2492035e-005,1.48514
-1.2491835e-005,1.48131
-1.2491635e-005,1.48374
-1.2491435e-005,1.49583
-1.2491235e-005,1.50148
-1.2491035e-005,1.49255
-1.2490835e-005,1.48369
-1.2490635e-005,1.48408
-1.2490435e-005,1.48633
-1.2490235e-005,1.4875
-1.2490035e-005,1.4912
-1.2489835e-005,1.49457
-1.2489635e-005,1.49198
-1.2489435e-005,1.48586
-1.2489235e-005,1.484
-1.2489035e-005,1.48713
-1.2488835e-005,1.48952
-1.2488635e-005,1.48832
-1.2488435e-005,1.4863
-1.2488235e-005,1.48778
-1.2488035e-005,1.49223
-1.2487835e-005,1.49728
-1.2487635e-005,1.50153
-1.2487435e-005,1.5013
-1.2487235e-005,1.4941
-1.2487035e-005,1.48612
-1.2486835e-005,1.48843
-1.2486635e-005,1.49845
-1.2486435e-005,1.50081
-1.2486235e-005,1.49477
-1.2486035e-005,1.49053
-1.2485835e-005,1.48641
-1.2485635e-005,1.4798
-1.2485435e-005,1.47807
-1.2485235e-005,1.48548
-1.2485035e-005,1.49501
-1.2484835e-005,1.49718
-1.2484635e-005,1.49387
-1.2484435e-005,1.49387
-1.2484235e-005,1.49679
-1.2484035e-005,1.49524
-1.2483835e-005,1.48954
-1.2483635e-005,1.48742
-1.2483435e-005,1.49117
-1.2483235e-005,1.49469
-1.2483035e-005,1.49283
-1.2482835e-005,1.48939
-1.2482635e-005,1.49143
-1.2482435e-005,1.49907
-1.2482235e-005,1.50575
-1.2482035e-005,1.50617
-1.2481835e-005,1.50249
-1.2481635e-005,1.49801
-1.2481435e-005,1.49291
-1.2481235e-005,1.49021
-1.2481035e-005,1.49016
-1.2480835e-005,1.48853
-1.2480635e-005,1.48296
-1.2480435e-005,1.47921
-1.2480235e-005,1.48804
-1.2480035e-005,1.50213
-1.2479835e-005,1.50363
-1.2479635e-005,1.4985
-1.2479435e-005,1.49987
-1.2479235e-005,1.50228
-1.2479035e-005,1.5
-1.2478835e-005,1.49591
-1.2478635e-005,1.49053
-1.2478435e-005,1.48351
-1.2478235e-005,1.47804
-1.2478035e-005,1.47934
-1.2477835e-005,1.48729
-1.2477635e-005,1.49185
-1.2477435e-005,1.48892
-1.2477235e-005,1.48731
-1.2477035e-005,1.48879
-1.2476835e-005,1.48734
-1.2476635e-005,1.48542
-1.2476435e-005,1.48781
-1.2476235e-005,1.49255
-1.2476035e-005,1.49407
-1.2475835e-005,1.48887
-1.2475635e-005,1.48255
-1.2475435e-005,1.48234
-1.2475235e-005,1.48439
-1.2475035e-005,1.48579
-1.2474835e-005,1.49208
-1.2474635e-005,1.49868
-1.2474435e-005,1.49384
-1.2474235e-005,1.4834
-1.2474035e-005,1.4826
-1.2473835e-005,1.48923
-1.2473635e-005,1.49231
-1.2473435e-005,1.49257
-1.2473235e-005,1.49174
-1.2473035e-005,1.48656
-1.2472835e-005,1.48097
-1.2472635e-005,1.48092
-1.2472435e-005,1.48685
-1.2472235e-005,1.49366
-1.2472035e-005,1.49301
-1.2471835e-005,1.4905
-1.2471635e-005,1.4991
-1.2471435e-005,1.50868
-1.2471235e-005,1.50223
-1.2471035e-005,1.48861
-1.2470835e-005,1.48327
-1.2470635e-005,1.48377
-1.2470435e-005,1.48296
-1.2470235e-005,1.48317
-1.2470035e-005,1.48845
-1.2469835e-005,1.49508
-1.2469635e-005,1.49547
-1.2469435e-005,1.48763
-1.2469235e-005,1.47843
-1.2469035e-005,1.47732
-1.2468835e-005,1.48413
-1.2468635e-005,1.48902
-1.2468435e-005,1.48739
-1.2468235e-005,1.48527
-1.2468035e-005,1.4869
-1.2467835e-005,1.48985
-1.2467635e-005,1.49345
-1.2467435e-005,1.49778
-1.2467235e-005,1.49886
-1.2467035e-005,1.49614
-1.2466835e-005,1.49332
-1.2466635e-005,1.49091
-1.2466435e-005,1.48939
-1.2466235e-005,1.49047
-1.2466035e-005,1.49133
-1.2465835e-005,1.49198
-1.2465635e-005,1.49521
-1.2465435e-005,1.49449
-1.2465235e-005,1.4898
-1.2465035e-005,1.49099
-1.2464835e-005,1.49312
-1.2464635e-005,1.48752
-1.2464435e-005,1.48076
-1.2464235e-005,1.48136
-1.2464035e-005,1.48711
-1.2463835e-005,1.49032
-1.2463635e-005,1.4926
-1.2463435e-005,1.49977
-1.2463235e-005,1.50316
-1.2463035e-005,1.49524
-1.2462835e-005,1.48985
-1.2462635e-005,1.49591
-1.2462435e-005,1.49972
-1.2462235e-005,1.49454
-1.2462035e-005,1.48913
-1.2461835e-005,1.48763
-1.2461635e-005,1.48809
-1.2461435e-005,1.48781
-1.2461235e-005,1.48504
-1.2461035e-005,1.48175
-1.2460835e-005,1.48079
-1.2460635e-005,1.48157
-1.2460435e-005,1.48372
-1.2460235e-005,1.48825
-1.2460035e-005,1.49148
-1.2459835e-005,1.49104
-1.2459635e-005,1.48985
-1.2459435e-005,1.4897
-1.2459235e-005,1.49172
-1.2459035e-005,1.49324
-1.2458835e-005,1.49138
-1.2458635e-005,1.48944
-1.2458435e-005,1.48786
-1.2458235e-005,1.48633
-1.2458035e-005,1.48794
-1.2457835e-005,1.49309
-1.2457635e-005,1.49832
-1.2457435e-005,1.49912
-1.2457235e-005,1.49438
-1.2457035e-005,1.48853
-1.2456835e-005,1.4891
