TRFL #9001192759LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2016 15:40:22,0                 
Time,Ampl
-5.000171e-006,1.48825
-4.999971e-006,1.49445
-4.999771e-006,1.49427
-4.999571e-006,1.48438
-4.999371e-006,1.47958
-4.999171e-006,1.48535
-4.998971e-006,1.49041
-4.998771e-006,1.49153
-4.998571e-006,1.49298
-4.998371e-006,1.49488
-4.998171e-006,1.49612
-4.997971e-006,1.49536
-4.997771e-006,1.49253
-4.997571e-006,1.49132
-4.997371e-006,1.49191
-4.997171e-006,1.49193
-4.996971e-006,1.49439
-4.996771e-006,1.49745
-4.996571e-006,1.49324
-4.996371e-006,1.48638
-4.996171e-006,1.48566
-4.995971e-006,1.48832
-4.995771e-006,1.49091
-4.995571e-006,1.493
-4.995371e-006,1.49341
-4.995171e-006,1.49341
-4.994971e-006,1.49332
-4.994771e-006,1.49277
-4.994571e-006,1.49206
-4.994371e-006,1.48928
-4.994171e-006,1.48802
-4.993971e-006,1.49403
-4.993771e-006,1.49975
-4.993571e-006,1.49786
-4.993371e-006,1.49477
-4.993171e-006,1.49294
-4.992971e-006,1.48847
-4.992771e-006,1.48476
-4.992571e-006,1.48506
-4.992371e-006,1.4869
-4.992171e-006,1.49004
-4.991971e-006,1.49429
-4.991771e-006,1.49629
-4.991571e-006,1.49227
-4.991371e-006,1.48374
-4.991171e-006,1.4796
-4.990971e-006,1.48333
-4.990771e-006,1.48751
-4.990571e-006,1.48853
-4.990371e-006,1.49077
-4.990171e-006,1.49184
-4.989971e-006,1.48816
-4.989771e-006,1.48602
-4.989571e-006,1.48775
-4.989371e-006,1.48792
-4.989171e-006,1.48509
-4.988971e-006,1.48302
-4.988771e-006,1.48443
-4.988571e-006,1.48721
-4.988371e-006,1.48923
-4.988171e-006,1.49224
-4.987971e-006,1.49426
-4.987771e-006,1.49067
-4.987571e-006,1.4855
-4.987371e-006,1.48564
-4.987171e-006,1.48854
-4.986971e-006,1.48825
-4.986771e-006,1.48654
-4.986571e-006,1.48834
-4.986371e-006,1.4912
-4.986171e-006,1.49039
-4.985971e-006,1.48694
-4.985771e-006,1.48614
-4.985571e-006,1.49037
-4.985371e-006,1.49255
-4.985171e-006,1.49011
-4.984971e-006,1.49241
-4.984771e-006,1.49799
-4.984571e-006,1.49628
-4.984371e-006,1.48935
-4.984171e-006,1.4845
-4.983971e-006,1.48257
-4.983771e-006,1.48181
-4.983571e-006,1.48046
-4.983371e-006,1.47967
-4.983171e-006,1.48259
-4.982971e-006,1.4882
-4.982771e-006,1.49288
-4.982571e-006,1.49526
-4.982371e-006,1.49455
