LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,14-Dec-2016 18:38:56,0                 
Time,Ampl
-1.7000881e-006,0.163517
-1.6998881e-006,0.163506
-1.6996881e-006,0.164318
-1.6994881e-006,0.164794
-1.6992881e-006,0.164121
-1.6990881e-006,0.162429
-1.6988881e-006,0.161669
-1.6986881e-006,0.162985
-1.6984881e-006,0.164314
-1.6982881e-006,0.163945
-1.6980881e-006,0.162826
-1.6978881e-006,0.162512
-1.6976881e-006,0.163123
-1.6974881e-006,0.163851
-1.6972881e-006,0.163869
-1.6970881e-006,0.163192
-1.6968881e-006,0.163195
-1.6966881e-006,0.164097
-1.6964881e-006,0.164276
-1.6962881e-006,0.163247
-1.6960881e-006,0.162201
-1.6958881e-006,0.162218
-1.6956881e-006,0.163012
-1.6954881e-006,0.163572
-1.6952881e-006,0.163586
-1.6950881e-006,0.163195
-1.6948881e-006,0.162854
-1.6946881e-006,0.162878
-1.6944881e-006,0.163216
-1.6942881e-006,0.163858
-1.6940881e-006,0.163959
-1.6938881e-006,0.163223
-1.6936881e-006,0.162954
-1.6934881e-006,0.163351
-1.6932881e-006,0.163344
-1.6930881e-006,0.162971
-1.6928881e-006,0.162857
-1.6926881e-006,0.162519
-1.6924881e-006,0.161776
-1.6922881e-006,0.161856
-1.6920881e-006,0.162798
-1.6918881e-006,0.163071
-1.6916881e-006,0.162498
-1.6914881e-006,0.162122
-1.6912881e-006,0.162318
-1.6910881e-006,0.162722
-1.6908881e-006,0.162888
-1.6906881e-006,0.163023
-1.6904881e-006,0.163675
-1.6902881e-006,0.164186
-1.6900881e-006,0.163689
-1.6898881e-006,0.163137
-1.6896881e-006,0.163144
-1.6894881e-006,0.163002
-1.6892881e-006,0.162716
-1.6890881e-006,0.16256
-1.6888881e-006,0.162498
-1.6886881e-006,0.16274
-1.6884881e-006,0.163061
-1.6882881e-006,0.162971
-1.6880881e-006,0.162722
-1.6878881e-006,0.162788
-1.6876881e-006,0.163009
-1.6874881e-006,0.162615
-1.6872881e-006,0.161859
-1.6870881e-006,0.162073
-1.6868881e-006,0.162957
-1.6866881e-006,0.163161
-1.6864881e-006,0.162695
-1.6862881e-006,0.16227
-1.6860881e-006,0.162301
-1.6858881e-006,0.162778
-1.6856881e-006,0.163247
-1.6854881e-006,0.163233
-1.6852881e-006,0.162747
-1.6850881e-006,0.16227
-1.6848881e-006,0.162284
-1.6846881e-006,0.162557
-1.6844881e-006,0.162301
-1.6842881e-006,0.161462
-1.6840881e-006,0.161055
-1.6838881e-006,0.161538
-1.6836881e-006,0.162046
-1.6834881e-006,0.162467
-1.6832881e-006,0.163316
-1.6830881e-006,0.163582
-1.6828881e-006,0.162833
-1.6826881e-006,0.162505
-1.6824881e-006,0.162892
-1.6822881e-006,0.162902
-1.6820881e-006,0.162426
-1.6818881e-006,0.162053
-1.6816881e-006,0.16188
-1.6814881e-006,0.161939
-1.6812881e-006,0.162122
-1.6810881e-006,0.161939
-1.6808881e-006,0.1617
-1.6806881e-006,0.162346
-1.6804881e-006,0.163413
-1.6802881e-006,0.16343
-1.6800881e-006,0.162522
-1.6798881e-006,0.162018
-1.6796881e-006,0.161959
-1.6794881e-006,0.161873
-1.6792881e-006,0.162287
-1.6790881e-006,0.163113
-1.6788881e-006,0.163572
-1.6786881e-006,0.163444
-1.6784881e-006,0.162712
-1.6782881e-006,0.161977
-1.6780881e-006,0.162094
-1.6778881e-006,0.162816
-1.6776881e-006,0.163323
-1.6774881e-006,0.163133
-1.6772881e-006,0.162249
-1.6770881e-006,0.161265
-1.6768881e-006,0.161024
-1.6766881e-006,0.16149
-1.6764881e-006,0.161379
-1.6762881e-006,0.160837
-1.6760881e-006,0.161576
-1.6758881e-006,0.162792
-1.6756881e-006,0.162377
-1.6754881e-006,0.161379
-1.6752881e-006,0.161659
-1.6750881e-006,0.162218
-1.6748881e-006,0.162056
-1.6746881e-006,0.161918
-1.6744881e-006,0.161728
-1.6742881e-006,0.161379
-1.6740881e-006,0.161759
-1.6738881e-006,0.162557
-1.6736881e-006,0.162574
-1.6734881e-006,0.161756
-1.6732881e-006,0.161058
-1.6730881e-006,0.161441
-1.6728881e-006,0.162674
-1.6726881e-006,0.163375
-1.6724881e-006,0.162961
-1.6722881e-006,0.162277
-1.6720881e-006,0.162104
-1.6718881e-006,0.162281
-1.6716881e-006,0.162163
-1.6714881e-006,0.161835
-1.6712881e-006,0.162098
-1.6710881e-006,0.162412
-1.6708881e-006,0.16187
-1.6706881e-006,0.161248
-1.6704881e-006,0.161134
-1.6702881e-006,0.161303
-1.6700881e-006,0.161821
-1.6698881e-006,0.16237
-1.6696881e-006,0.162595
-1.6694881e-006,0.162705
-1.6692881e-006,0.162681
-1.6690881e-006,0.162094
-1.6688881e-006,0.161141
-1.6686881e-006,0.160913
-1.6684881e-006,0.1616
-1.6682881e-006,0.162108
-1.6680881e-006,0.161807
-1.6678881e-006,0.160996
-1.6676881e-006,0.160623
-1.6674881e-006,0.161328
-1.6672881e-006,0.162225
-1.6670881e-006,0.161939
-1.6668881e-006,0.160772
-1.6666881e-006,0.160392
-1.6664881e-006,0.161224
-1.6662881e-006,0.162049
-1.6660881e-006,0.162018
-1.6658881e-006,0.161407
-1.6656881e-006,0.160903
-1.6654881e-006,0.160955
-1.6652881e-006,0.161352
-1.6650881e-006,0.161345
-1.6648881e-006,0.160875
-1.6646881e-006,0.160834
-1.6644881e-006,0.161103
-1.6642881e-006,0.160975
-1.6640881e-006,0.160941
-1.6638881e-006,0.161093
-1.6636881e-006,0.160827
-1.6634881e-006,0.160571
-1.6632881e-006,0.16091
-1.6630881e-006,0.161549
-1.6628881e-006,0.161856
-1.6626881e-006,0.161414
-1.6624881e-006,0.160623
-1.6622881e-006,0.16052
-1.6620881e-006,0.161196
-1.6618881e-006,0.161552
-1.6616881e-006,0.161207
-1.6614881e-006,0.160979
-1.6612881e-006,0.161255
-1.6610881e-006,0.161203
-1.6608881e-006,0.160316
-1.6606881e-006,0.159708
-1.6604881e-006,0.160147
-1.6602881e-006,0.160713
-1.6600881e-006,0.160944
-1.6598881e-006,0.161486
-1.6596881e-006,0.161828
-1.6594881e-006,0.160989
-1.6592881e-006,0.160268
-1.6590881e-006,0.160661
-1.6588881e-006,0.160924
-1.6586881e-006,0.160741
-1.6584881e-006,0.16092
-1.6582881e-006,0.161604
-1.6580881e-006,0.162312
-1.6578881e-006,0.162098
-1.6576881e-006,0.160696
-1.6574881e-006,0.159439
-1.6572881e-006,0.159183
-1.6570881e-006,0.159287
-1.6568881e-006,0.159487
-1.6566881e-006,0.159946
-1.6564881e-006,0.160143
-1.6562881e-006,0.160161
-1.6560881e-006,0.160654
-1.6558881e-006,0.161044
-1.6556881e-006,0.160996
-1.6554881e-006,0.160965
-1.6552881e-006,0.160765
-1.6550881e-006,0.160706
-1.6548881e-006,0.160868
-1.6546881e-006,0.160392
-1.6544881e-006,0.15995
-1.6542881e-006,0.160409
-1.6540881e-006,0.160716
-1.6538881e-006,0.160423
-1.6536881e-006,0.160223
-1.6534881e-006,0.160164
-1.6532881e-006,0.159988
-1.6530881e-006,0.159943
-1.6528881e-006,0.160644
-1.6526881e-006,0.161549
-1.6524881e-006,0.161169
-1.6522881e-006,0.159967
-1.6520881e-006,0.159719
-1.6518881e-006,0.160278
-1.6516881e-006,0.160523
-1.6514881e-006,0.160613
-1.6512881e-006,0.160682
-1.6510881e-006,0.160464
-1.6508881e-006,0.160692
-1.6506881e-006,0.1614
-1.6504881e-006,0.161227
-1.6502881e-006,0.160478
-1.6500881e-006,0.160527
-1.6498881e-006,0.161027
-1.6496881e-006,0.161269
-1.6494881e-006,0.161169
-1.6492881e-006,0.160737
-1.6490881e-006,0.16052
-1.6488881e-006,0.16082
-1.6486881e-006,0.160989
-1.6484881e-006,0.160602
-1.6482881e-006,0.159981
-1.6480881e-006,0.159477
-1.6478881e-006,0.159408
-1.6476881e-006,0.159767
-1.6474881e-006,0.159791
-1.6472881e-006,0.159774
-1.6470881e-006,0.160644
-1.6468881e-006,0.161604
-1.6466881e-006,0.161511
-1.6464881e-006,0.160609
-1.6462881e-006,0.160364
-1.6460881e-006,0.161476
-1.6458881e-006,0.16236
-1.6456881e-006,0.161704
-1.6454881e-006,0.160319
-1.6452881e-006,0.159346
-1.6450881e-006,0.159166
-1.6448881e-006,0.159522
