TRFL #9003048457LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 14:15:41,0                 
Time,Ampl
-1.2500125e-005,1.48814
-1.2499925e-005,1.48523
-1.2499725e-005,1.48889
-1.2499525e-005,1.49543
-1.2499325e-005,1.49817
-1.2499125e-005,1.49522
-1.2498925e-005,1.4904
-1.2498725e-005,1.48936
-1.2498525e-005,1.49258
-1.2498325e-005,1.495
-1.2498125e-005,1.49463
-1.2497925e-005,1.49208
-1.2497725e-005,1.48733
-1.2497525e-005,1.48442
-1.2497325e-005,1.48697
-1.2497125e-005,1.49068
-1.2496925e-005,1.4912
-1.2496725e-005,1.49012
-1.2496525e-005,1.48858
-1.2496325e-005,1.48737
-1.2496125e-005,1.48911
-1.2495925e-005,1.49283
-1.2495725e-005,1.49481
-1.2495525e-005,1.49391
-1.2495325e-005,1.49164
-1.2495125e-005,1.48934
-1.2494925e-005,1.48634
-1.2494725e-005,1.48417
-1.2494525e-005,1.48743
-1.2494325e-005,1.49444
-1.2494125e-005,1.49751
-1.2493925e-005,1.49503
-1.2493725e-005,1.49164
-1.2493525e-005,1.48902
-1.2493325e-005,1.48709
-1.2493125e-005,1.48809
-1.2492925e-005,1.49069
-1.2492725e-005,1.49089
-1.2492525e-005,1.48977
-1.2492325e-005,1.48967
-1.2492125e-005,1.48923
-1.2491925e-005,1.48772
-1.2491725e-005,1.48762
-1.2491525e-005,1.49085
-1.2491325e-005,1.49495
-1.2491125e-005,1.49519
-1.2490925e-005,1.4917
-1.2490725e-005,1.49026
-1.2490525e-005,1.49132
-1.2490325e-005,1.4891
-1.2490125e-005,1.4849
-1.2489925e-005,1.48539
-1.2489725e-005,1.49138
-1.2489525e-005,1.49804
-1.2489325e-005,1.50063
-1.2489125e-005,1.49819
-1.2488925e-005,1.49253
-1.2488725e-005,1.48691
-1.2488525e-005,1.4845
-1.2488325e-005,1.48444
-1.2488125e-005,1.48458
-1.2487925e-005,1.48512
-1.2487725e-005,1.48689
-1.2487525e-005,1.48949
-1.2487325e-005,1.49221
-1.2487125e-005,1.49608
-1.2486925e-005,1.49977
-1.2486725e-005,1.49837
-1.2486525e-005,1.49229
-1.2486325e-005,1.48865
-1.2486125e-005,1.48983
-1.2485925e-005,1.49056
-1.2485725e-005,1.48835
-1.2485525e-005,1.48709
-1.2485325e-005,1.48857
-1.2485125e-005,1.49029
-1.2484925e-005,1.49139
-1.2484725e-005,1.49228
-1.2484525e-005,1.49306
-1.2484325e-005,1.49495
-1.2484125e-005,1.49617
-1.2483925e-005,1.49428
-1.2483725e-005,1.49271
-1.2483525e-005,1.49398
-1.2483325e-005,1.49493
-1.2483125e-005,1.49365
-1.2482925e-005,1.49264
-1.2482725e-005,1.49359
-1.2482525e-005,1.49481
-1.2482325e-005,1.49348
-1.2482125e-005,1.49016
-1.2481925e-005,1.48898
-1.2481725e-005,1.49056
-1.2481525e-005,1.49089
-1.2481325e-005,1.49012
-1.2481125e-005,1.49196
-1.2480925e-005,1.49398
-1.2480725e-005,1.49207
-1.2480525e-005,1.48992
-1.2480325e-005,1.4913
-1.2480125e-005,1.49277
-1.2479925e-005,1.49107
-1.2479725e-005,1.48835
-1.2479525e-005,1.48917
-1.2479325e-005,1.49394
-1.2479125e-005,1.49629
-1.2478925e-005,1.49376
-1.2478725e-005,1.49081
-1.2478525e-005,1.48834
-1.2478325e-005,1.4863
-1.2478125e-005,1.48722
-1.2477925e-005,1.48984
-1.2477725e-005,1.4917
-1.2477525e-005,1.49278
-1.2477325e-005,1.49257
-1.2477125e-005,1.49079
-1.2476925e-005,1.48866
-1.2476725e-005,1.4861
-1.2476525e-005,1.48376
-1.2476325e-005,1.4849
-1.2476125e-005,1.48935
-1.2475925e-005,1.49175
-1.2475725e-005,1.48909
-1.2475525e-005,1.4858
-1.2475325e-005,1.4868
-1.2475125e-005,1.48908
-1.2474925e-005,1.4894
-1.2474725e-005,1.49116
-1.2474525e-005,1.495
-1.2474325e-005,1.49569
-1.2474125e-005,1.49186
-1.2473925e-005,1.48714
-1.2473725e-005,1.48419
-1.2473525e-005,1.48342
-1.2473325e-005,1.4838
-1.2473125e-005,1.48494
-1.2472925e-005,1.48734
-1.2472725e-005,1.48968
-1.2472525e-005,1.49129
-1.2472325e-005,1.49297
-1.2472125e-005,1.49169
-1.2471925e-005,1.48659
