TRFL #9001179771LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2016 16:37:39,0                 
Time,Ampl
-5.000171e-006,1.48916
-4.999971e-006,1.49043
-4.999771e-006,1.48989
-4.999571e-006,1.48847
-4.999371e-006,1.48766
-4.999171e-006,1.48789
-4.998971e-006,1.4893
-4.998771e-006,1.49077
-4.998571e-006,1.49214
-4.998371e-006,1.49484
-4.998171e-006,1.49724
-4.997971e-006,1.49712
-4.997771e-006,1.49602
-4.997571e-006,1.49548
-4.997371e-006,1.49516
-4.997171e-006,1.49466
-4.996971e-006,1.49404
-4.996771e-006,1.49428
-4.996571e-006,1.49565
-4.996371e-006,1.49602
-4.996171e-006,1.49375
-4.995971e-006,1.48987
-4.995771e-006,1.48692
-4.995571e-006,1.48751
-4.995371e-006,1.49139
-4.995171e-006,1.49297
-4.994971e-006,1.4883
-4.994771e-006,1.48324
-4.994571e-006,1.48433
-4.994371e-006,1.48886
-4.994171e-006,1.49259
-4.993971e-006,1.49499
-4.993771e-006,1.49515
-4.993571e-006,1.49282
-4.993371e-006,1.49066
-4.993171e-006,1.49105
-4.992971e-006,1.49217
-4.992771e-006,1.49125
-4.992571e-006,1.48945
-4.992371e-006,1.48974
-4.992171e-006,1.49183
-4.991971e-006,1.49157
-4.991771e-006,1.48855
-4.991571e-006,1.48794
-4.991371e-006,1.49046
-4.991171e-006,1.49173
-4.990971e-006,1.49177
-4.990771e-006,1.49277
-4.990571e-006,1.49259
-4.990371e-006,1.48917
-4.990171e-006,1.48482
-4.989971e-006,1.48373
-4.989771e-006,1.48647
-4.989571e-006,1.48986
-4.989371e-006,1.49271
-4.989171e-006,1.49474
-4.988971e-006,1.49396
-4.988771e-006,1.49031
-4.988571e-006,1.48696
-4.988371e-006,1.48683
-4.988171e-006,1.48898
-4.987971e-006,1.49048
-4.987771e-006,1.49212
-4.987571e-006,1.49521
-4.987371e-006,1.49627
-4.987171e-006,1.49392
-4.986971e-006,1.49146
-4.986771e-006,1.48932
-4.986571e-006,1.48614
-4.986371e-006,1.48382
-4.986171e-006,1.48548
-4.985971e-006,1.49034
-4.985771e-006,1.49297
-4.985571e-006,1.49026
-4.985371e-006,1.48661
-4.985171e-006,1.48724
-4.984971e-006,1.48924
-4.984771e-006,1.48796
-4.984571e-006,1.48789
-4.984371e-006,1.4944
-4.984171e-006,1.50072
-4.983971e-006,1.49753
-4.983771e-006,1.48888
-4.983571e-006,1.48562
-4.983371e-006,1.48891
-4.983171e-006,1.49151
-4.982971e-006,1.49164
-4.982771e-006,1.4933
-4.982571e-006,1.49554
-4.982371e-006,1.4949
-4.982171e-006,1.49309
-4.981971e-006,1.49359
-4.981771e-006,1.49605
-4.981571e-006,1.49692
-4.981371e-006,1.49471
-4.981171e-006,1.49262
-4.980971e-006,1.49327
-4.980771e-006,1.49555
-4.980571e-006,1.49631
-4.980371e-006,1.49303
-4.980171e-006,1.4887
-4.979971e-006,1.48842
-4.979771e-006,1.49089
-4.979571e-006,1.49007
-4.979371e-006,1.48479
-4.979171e-006,1.48116
-4.978971e-006,1.4829
-4.978771e-006,1.48684
-4.978571e-006,1.4888
-4.978371e-006,1.48838
-4.978171e-006,1.48873
-4.977971e-006,1.4907
-4.977771e-006,1.49152
-4.977571e-006,1.49245
-4.977371e-006,1.49636
-4.977171e-006,1.49821
-4.976971e-006,1.49365
-4.976771e-006,1.48905
-4.976571e-006,1.49002
-4.976371e-006,1.49378
-4.976171e-006,1.49568
-4.975971e-006,1.49281
-4.975771e-006,1.48797
-4.975571e-006,1.48796
-4.975371e-006,1.49344
-4.975171e-006,1.49737
-4.974971e-006,1.49454
-4.974771e-006,1.48931
-4.974571e-006,1.48948
-4.974371e-006,1.49353
-4.974171e-006,1.49334
-4.973971e-006,1.48826
-4.973771e-006,1.48452
-4.973571e-006,1.48453
-4.973371e-006,1.48847
-4.973171e-006,1.49542
-4.972971e-006,1.49885
-4.972771e-006,1.49571
-4.972571e-006,1.49251
-4.972371e-006,1.49375
-4.972171e-006,1.49606
-4.971971e-006,1.49576
-4.971771e-006,1.49321
-4.971571e-006,1.49062
-4.971371e-006,1.49063
-4.971171e-006,1.49178
-4.970971e-006,1.48881
-4.970771e-006,1.48438
-4.970571e-006,1.48641
-4.970371e-006,1.49273
-4.970171e-006,1.49485
-4.969971e-006,1.49334
-4.969771e-006,1.49306
-4.969571e-006,1.49304
-4.969371e-006,1.49282
-4.969171e-006,1.49464
-4.968971e-006,1.497
-4.968771e-006,1.49713
-4.968571e-006,1.49611
-4.968371e-006,1.49441
-4.968171e-006,1.49012
-4.967971e-006,1.48513
-4.967771e-006,1.48464
-4.967571e-006,1.48888
-4.967371e-006,1.49173
-4.967171e-006,1.48924
-4.966971e-006,1.48558
-4.966771e-006,1.4864
-4.966571e-006,1.48985
-4.966371e-006,1.49007
-4.966171e-006,1.48728
-4.965971e-006,1.48716
-4.965771e-006,1.49006
-4.965571e-006,1.49156
-4.965371e-006,1.49374
-4.965171e-006,1.4995
-4.964971e-006,1.50237
-4.964771e-006,1.4967
-4.964571e-006,1.4887
-4.964371e-006,1.487
-4.964171e-006,1.48888
-4.963971e-006,1.48798
-4.963771e-006,1.48693
-4.963571e-006,1.48968
-4.963371e-006,1.49235
-4.963171e-006,1.49033
-4.962971e-006,1.48711
-4.962771e-006,1.48764
-4.962571e-006,1.4892
-4.962371e-006,1.48917
-4.962171e-006,1.49079
-4.961971e-006,1.49414
-4.961771e-006,1.49443
-4.961571e-006,1.49091
-4.961371e-006,1.48752
-4.961171e-006,1.48682
-4.960971e-006,1.48797
-4.960771e-006,1.48906
-4.960571e-006,1.49036
-4.960371e-006,1.4929
-4.960171e-006,1.49443
-4.959971e-006,1.49244
