TRFL #9006384309LECROYWR6100A,16918,Waveform
Segments,1,SegmentSize,250002
Segment,TrigTime,TimeSinceSegment1
#1,16-Dec-2016 22:08:32,0                 
Time,Ampl
-2.47799948e-005,0.500187
-2.47795948e-005,0.501326
-2.47791948e-005,0.505366
-2.47787948e-005,0.516104
-2.47783948e-005,0.503122
-2.47779948e-005,0.517105
-2.47775948e-005,0.509716
-2.47771948e-005,0.518452
-2.47767948e-005,0.52042
-2.47763948e-005,0.521007
-2.47759948e-005,0.524218
-2.47755948e-005,0.514654
-2.47751948e-005,0.518693
-2.47747948e-005,0.517312
-2.47743948e-005,0.512927
-2.47739948e-005,0.522457
-2.47735948e-005,0.52149
-2.47731948e-005,0.518279
-2.47727948e-005,0.508128
-2.47723948e-005,0.517105
-2.47719948e-005,0.516242
-2.47715948e-005,0.510752
-2.47711948e-005,0.516518
-2.47707948e-005,0.529466
-2.47703948e-005,0.515379
-2.47699948e-005,0.519246
-2.47695948e-005,0.528982
-2.47691948e-005,0.511753
-2.47687948e-005,0.513342
-2.47683948e-005,0.515862
-2.47679948e-005,0.504364
-2.47675948e-005,0.501153
-2.47671948e-005,0.499289
-2.47667948e-005,0.504951
-2.47663948e-005,0.513963
-2.47659948e-005,0.520799
-2.47655948e-005,0.521214
-2.47651948e-005,0.519315
-2.47647948e-005,0.504641
-2.47643948e-005,0.513825
-2.47639948e-005,0.510717
-2.47635948e-005,0.514861
-2.47631948e-005,0.511719
-2.47627948e-005,0.510234
-2.47623948e-005,0.508093
-2.47619948e-005,0.511581
-2.47615948e-005,0.517105
-2.47611948e-005,0.523907
-2.47607948e-005,0.516656
-2.47603948e-005,0.504813
-2.47399948e-005,0.510959
-2.47395948e-005,0.510821
-2.47391948e-005,0.512478
-2.47387948e-005,0.513825
-2.47383948e-005,0.522008
-2.47379948e-005,0.542103
-2.47375948e-005,0.527877
-2.47371948e-005,0.520212
-2.47367948e-005,0.5266
-2.47363948e-005,0.517485
-2.47359948e-005,0.514343
-2.47355948e-005,0.516207
-2.47351948e-005,0.517623
-2.47347948e-005,0.520661
-2.47343948e-005,0.526462
-2.47339948e-005,0.547765
-2.47335948e-005,0.517726
-2.47331948e-005,0.521386
-2.47327948e-005,0.516311
-2.47323948e-005,0.512547
-2.47319948e-005,0.514412
-2.47315948e-005,0.514757
-2.47311948e-005,0.513307
-2.47307948e-005,0.512271
-2.47303948e-005,0.521007
-2.47299948e-005,0.518037
-2.47295948e-005,0.514826
-2.47291948e-005,0.526462
-2.47287948e-005,0.529673
-2.47283948e-005,0.524943
-2.47279948e-005,0.513169
-2.47275948e-005,0.505987
-2.47271948e-005,0.505228
-2.47267948e-005,0.512513
-2.47263948e-005,0.516863
-2.47259948e-005,0.519902
-2.47255948e-005,0.50837
-2.47251948e-005,0.515689
-2.47247948e-005,0.511512
-2.47243948e-005,0.513928
-2.47239948e-005,0.515137
-2.47235948e-005,0.521524
-2.47231948e-005,0.516345
-2.47227948e-005,0.526358
-2.47223948e-005,0.521214
-2.47219948e-005,0.517347
-2.47215948e-005,0.516
-2.47211948e-005,0.517485
-2.47207948e-005,0.520385
-2.47203948e-005,0.521145
-2.46999948e-005,0.515551
-2.46995948e-005,0.508093
-2.46991948e-005,0.513342
-2.46987948e-005,0.514999
-2.46983948e-005,0.511788
-2.46979948e-005,0.52332
-2.46975948e-005,0.517105
-2.46971948e-005,0.514067
-2.46967948e-005,0.524804
-2.46963948e-005,0.514619
-2.46959948e-005,0.516794
-2.46955948e-005,0.517312
-2.46951948e-005,0.51676
-2.46947948e-005,0.518831
-2.46943948e-005,0.511891
-2.46939948e-005,0.524735
-2.46935948e-005,0.525046
-2.46931948e-005,0.516794
-2.46927948e-005,0.520351
-2.46923948e-005,0.519073
-2.46919948e-005,0.509613
-2.46915948e-005,0.514688
-2.46911948e-005,0.51707
-2.46907948e-005,0.53461
-2.46903948e-005,0.513928
-2.46899948e-005,0.518141
-2.46895948e-005,0.523527
-2.46891948e-005,0.529949
-2.46887948e-005,0.52912
-2.46883948e-005,0.531572
-2.46879948e-005,0.515689
-2.46875948e-005,0.51783
-2.46871948e-005,0.513721
-2.46867948e-005,0.506298
-2.46863948e-005,0.519211
-2.46859948e-005,0.517761
-2.46855948e-005,0.523562
-2.46851948e-005,0.514964
-2.46847948e-005,0.50654
-2.46843948e-005,0.509544
-2.46839948e-005,0.519108
-2.46835948e-005,0.519315
